tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,text_clean,likes,retweets,sentiment_score,sentiment
1024,2024-02-20T09:00:00Z,2024-02-20,9,Tuesday,xena,iOS,Canada,So many useful templates. Saved me 20 minutes.,many useful template saved NUMBER minute,41,3,0.9666299135424196,Positive
1025,2024-02-21T11:11:00Z,2024-02-21,11,Wednesday,yara,Android,United States,Hashtags and mentions broke the search box 😭,hashtags mention broke search box,13,1,-0.7279001828283072,Negative
1026,2024-02-22T16:40:00Z,2024-02-22,16,Thursday,zion,Web,United States,Absolutely love this new update!,absolutely love new update,99,12,0.9823401416651903,Positive
1027,2024-02-22T00:00:00Z,2024-02-22,0,Thursday,ada,Mobile,United Kingdom,Number of likes displayed as unknown today.,number like displayed unknown today,17,0,-0.1377656525000929,Neutral
1028,2024-02-23T12:12:12Z,2024-02-23,12,Friday,ben,iOS,United Kingdom,Crash on launch. 0 stars until this is fixed.,crash launch NUMBER star fixed,7,4,-0.8466483131051064,Negative
1029,2024-02-24T18:30:00Z,2024-02-24,18,Saturday,cia,Android,United States,The dashboard is finally useful for weekly reports.,dashboard finally useful weekly report,28,2,0.9227207242511212,Positive
1031,2024-02-26T14:14:14Z,2024-02-26,14,Monday,eve,Web,United States,Check www.example.com for the 5.0 release notes.,check URL NUMBER release note,16,1,0.0654261531308293,Neutral
1032,2024-02-26T00:00:00Z,2024-02-26,0,Monday,finn,iOS,Canada,"Opened the app, closed the app. That is all.",opened app closed app,2,0,0.0175830498337745,Neutral
1033,2024-02-27T19:00:00Z,2024-02-27,19,Tuesday,gia,Android,Canada,Tooltip delay is gone in version 4. Nice work @dev.,tooltip delay gone version NUMBER nice work USER,37,3,0.9305187314748764,Positive
1034,2024-02-28T08:20:00Z,2024-02-28,8,Wednesday,hugo,Mobile,United Kingdom,Malformed strings everywhere. Dates won't parse.,malformed string everywhere date wo parse,18,2,-0.9053583685308696,Negative
1035,2024-02-29T10:00:00Z,2024-02-29,10,Thursday,ivy,Web,United Kingdom,Leap day deploy worked. Charts are live 🚀,leap day deploy worked chart live,63,7,0.9007034536916763,Positive
1036,2024-03-01T11:30:00Z,2024-03-01,11,Friday,jules,iOS,United States,"I expected this to be terrible, and it was.",expected terrible,10,1,-0.9274626607075334,Negative
1037,2024-03-02T00:00:00Z,2024-03-02,0,Saturday,kip,Android,United States,"I expected this to be terrible, but it was actually amazing.",expected terrible actually amazing,150,11,-0.0206599235534667,Negative
1038,2024-03-03T09:09:09Z,2024-03-03,9,Sunday,liv,Web,Canada,Meeting notes: 12 students used the dashboard.,meeting note NUMBER student used dashboard,4,0,0.063343193847686,Neutral
1039,2024-03-04T13:13:13Z,2024-03-04,13,Monday,mo,Mobile,Canada,Export to CSV is now 3 seconds. Huge win.,export csv NUMBER second huge win,22,2,0.9539973526261748,Positive
1040,2024-03-05T17:50:00Z,2024-03-05,17,Tuesday,nia,iOS,United Kingdom,"Do not like this movie. Wait, this update. Same energy.",like movie wait update energy,8,0,-0.9386952281929553,Negative
1041,2024-03-06T12:00:00Z,2024-03-06,12,Wednesday,oak,Android,United States,First copy of tweet 1041 about a useful dashboard update.,first copy tweet NUMBER useful dashboard update,15,1,0.7942499588243663,Positive
1042,2024-03-07T08:08:08Z,2024-03-07,8,Thursday,pia,Web,United States,Need more examples with numbers 100 and 200 in tweets.,need example number NUMBER NUMBER tweet,1050,5,0.0046439245343208,Neutral
1043,2024-03-07T19:40:00Z,2024-03-07,19,Thursday,raj,Mobile,United States,Great. Another software crash.,great another software crash,25,6,-0.8192393705248833,Negative
1044,2024-03-08T10:10:10Z,2024-03-08,10,Friday,sky,iOS,United Kingdom,I like this movie. Also I like this dashboard a lot.,like movie also like dashboard lot,31,2,0.9560525785200298,Positive
1045,2024-03-09T11:11:11Z,2024-03-09,11,Saturday,tao,Android,United Kingdom,I do not like this movie. The dashboard is worse.,like movie dashboard worse,17,3,-0.9511987948790191,Negative
1046,2024-03-10T16:16:16Z,2024-03-10,16,Sunday,uma2,Web,Canada,"Tokenization test: running, ran, runs. Lemmatize me.",tokenization test running ran run lemmatize,9,0,0.1619409173727035,Neutral
