section,cluster_name,count,proportion,chapter
Compliance with Academic Regulations,Academic Standing and Withdrawal,1,1.0,Part 6: Academic Procedures and Information
Counseling and Psychological Services (CAPS),University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Course Audit,University Identity and Study Away,1,1.0,Part 6: Academic Procedures and Information
Course Descriptions,Academic Calendar and Deadlines,2,0.003169572107765452,Part 10: Majors and Courses
Course Descriptions,Credit and Degree Requirements,30,0.04754358161648178,Part 10: Majors and Courses
Course Descriptions,"Global History, Culture, and Politics",183,0.2900158478605388,Part 10: Majors and Courses
Course Descriptions,"Language, Media, and Skills",136,0.21553090332805072,Part 10: Majors and Courses
Course Descriptions,"Policy, Health, and Society",142,0.22503961965134706,Part 10: Majors and Courses
Course Descriptions,Quantitative and Physical Sciences,135,0.21394611727416799,Part 10: Majors and Courses
Course Descriptions,University Identity and Study Away,3,0.004754358161648178,Part 10: Majors and Courses
Course Repeat,Academic Standing and Withdrawal,1,0.16666666666666666,Part 6: Academic Procedures and Information
Course Repeat,Credit and Degree Requirements,3,0.5,Part 6: Academic Procedures and Information
Course Repeat,University Identity and Study Away,2,0.3333333333333333,Part 6: Academic Procedures and Information
Declaration of Major,University Identity and Study Away,2,1.0,Part 6: Academic Procedures and Information
Degree Requirements,Credit and Degree Requirements,11,0.36666666666666664,Part 3: The Curriculum
Degree Requirements,"Language, Media, and Skills",5,0.16666666666666666,Part 3: The Curriculum
Degree Requirements,"Policy, Health, and Society",2,0.06666666666666667,Part 3: The Curriculum
Degree Requirements,Quantitative and Physical Sciences,1,0.03333333333333333,Part 3: The Curriculum
Degree Requirements,University Identity and Study Away,11,0.36666666666666664,Part 3: The Curriculum
Dual Degrees,University Identity and Study Away,1,1.0,Part 2: A Liberal Arts Education at Duke Kunshan University
Duke Kunshan University Community Standard,University Identity and Study Away,1,1.0,Part 1: General Information
Education Records,Academic Standing and Withdrawal,1,0.25,Part 6: Academic Procedures and Information
Education Records,University Identity and Study Away,3,0.75,Part 6: Academic Procedures and Information
Eligibility for Courses,Academic Standing and Withdrawal,1,0.25,Part 6: Academic Procedures and Information
Eligibility for Courses,Credit and Degree Requirements,2,0.5,Part 6: Academic Procedures and Information
Eligibility for Courses,University Identity and Study Away,1,0.25,Part 6: Academic Procedures and Information
Entrance Credit and Placement,Credit and Degree Requirements,4,0.26666666666666666,Part 6: Academic Procedures and Information
Entrance Credit and Placement,"Language, Media, and Skills",1,0.06666666666666667,Part 6: Academic Procedures and Information
Entrance Credit and Placement,University Identity and Study Away,10,0.6666666666666666,Part 6: Academic Procedures and Information
Estimated Expenses,Academic Standing and Withdrawal,3,0.3,Part 5: Financial Information
Estimated Expenses,Credit and Degree Requirements,2,0.2,Part 5: Financial Information
Estimated Expenses,"Global History, Culture, and Politics",1,0.1,Part 5: Financial Information
Estimated Expenses,University Identity and Study Away,4,0.4,Part 5: Financial Information
Exclusion of Disruptive Students from a Course,Academic Standing and Withdrawal,2,1.0,Part 6: Academic Procedures and Information
Final Examinations,Academic Calendar and Deadlines,2,0.6666666666666666,Part 6: Academic Procedures and Information
Final Examinations,Academic Standing and Withdrawal,1,0.3333333333333333,Part 6: Academic Procedures and Information
Grade Review Procedure,Academic Standing and Withdrawal,5,1.0,Part 6: Academic Procedures and Information
Grading and Grade Requirements,Academic Standing and Withdrawal,3,0.15,Part 6: Academic Procedures and Information
Grading and Grade Requirements,Credit and Degree Requirements,12,0.6,Part 6: Academic Procedures and Information
Grading and Grade Requirements,Quantitative and Physical Sciences,1,0.05,Part 6: Academic Procedures and Information
Grading and Grade Requirements,University Identity and Study Away,4,0.2,Part 6: Academic Procedures and Information
Graduation and Commencement,Academic Calendar and Deadlines,1,1.0,Part 6: Academic Procedures and Information
Host Family Program,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Incomplete Coursework and Excused Absence from Final Exam,Academic Standing and Withdrawal,1,1.0,Part 6: Academic Procedures and Information
Independent Studies,Academic Standing and Withdrawal,1,0.5,Part 6: Academic Procedures and Information
Independent Studies,Credit and Degree Requirements,1,0.5,Part 6: Academic Procedures and Information
International Student Services,University Identity and Study Away,2,1.0,Part 9: Student Affairs and Campus Life
Key Components,Credit and Degree Requirements,3,0.5,Part 3: The Curriculum
Key Components,University Identity and Study Away,3,0.5,Part 3: The Curriculum
Leadership Development,"Policy, Health, and Society",1,1.0,Part 9: Student Affairs and Campus Life
Majors (listed in alphabetical order),Academic Calendar and Deadlines,1,0.01282051282051282,Part 10: Majors and Courses
Majors (listed in alphabetical order),Credit and Degree Requirements,22,0.28205128205128205,Part 10: Majors and Courses
Majors (listed in alphabetical order),"Global History, Culture, and Politics",9,0.11538461538461539,Part 10: Majors and Courses
Majors (listed in alphabetical order),"Language, Media, and Skills",5,0.0641025641025641,Part 10: Majors and Courses
Majors (listed in alphabetical order),"Policy, Health, and Society",21,0.2692307692307692,Part 10: Majors and Courses
Majors (listed in alphabetical order),Quantitative and Physical Sciences,20,0.2564102564102564,Part 10: Majors and Courses
Mission Statement,University Identity and Study Away,1,1.0,Part 1: General Information
Notification and Responses,Credit and Degree Requirements,1,1.0,"Part 4: Admission, Scholarships and Financial Aid"
Notification of Intention to Graduate,University Identity and Study Away,1,1.0,Part 6: Academic Procedures and Information
Office of Global Education and Study Away,Academic Calendar and Deadlines,1,0.058823529411764705,"Part 8: Career Services, Study Away, and Research Opportunities"
Office of Global Education and Study Away,Academic Standing and Withdrawal,2,0.11764705882352941,"Part 8: Career Services, Study Away, and Research Opportunities"
Office of Global Education and Study Away,University Identity and Study Away,14,0.8235294117647058,"Part 8: Career Services, Study Away, and Research Opportunities"
Overview,"Language, Media, and Skills",1,0.25,Part 3: The Curriculum
Overview,"Policy, Health, and Society",2,0.5,Part 3: The Curriculum
Overview,University Identity and Study Away,1,0.25,Part 3: The Curriculum
Part 11: Academic Calendar 2021-22,Academic Calendar and Deadlines,20,1.0,Part 11: Academic Calendar 2021-22
Part 12: Useful Contacts,University Identity and Study Away,3,1.0,Part 12: Useful Contacts
Part 1: General Information,"Language, Media, and Skills",1,0.3333333333333333,Part 1: General Information
Part 1: General Information,"Policy, Health, and Society",1,0.3333333333333333,Part 1: General Information
Part 1: General Information,University Identity and Study Away,1,0.3333333333333333,Part 1: General Information
Part 7: Academic Advising and Support,"Policy, Health, and Society",1,1.0,Part 7: Academic Advising and Support
Partners,"Global History, Culture, and Politics",1,0.16666666666666666,Part 1: General Information
Partners,University Identity and Study Away,5,0.8333333333333334,Part 1: General Information
Principles of Selection,University Identity and Study Away,2,1.0,"Part 4: Admission, Scholarships and Financial Aid"
Procedure for Resolution of Students' Academic Concerns,Academic Standing and Withdrawal,4,0.8,Part 6: Academic Procedures and Information
Procedure for Resolution of Students' Academic Concerns,University Identity and Study Away,1,0.2,Part 6: Academic Procedures and Information
Progress toward Degree,Academic Calendar and Deadlines,1,0.16666666666666666,Part 6: Academic Procedures and Information
Progress toward Degree,Academic Standing and Withdrawal,1,0.16666666666666666,Part 6: Academic Procedures and Information
Progress toward Degree,Credit and Degree Requirements,4,0.6666666666666666,Part 6: Academic Procedures and Information
Refund,Academic Calendar and Deadlines,1,0.16666666666666666,Part 5: Financial Information
Refund,Academic Standing and Withdrawal,5,0.8333333333333334,Part 5: Financial Information
Registration,Academic Calendar and Deadlines,2,0.2857142857142857,Part 6: Academic Procedures and Information
Registration,Academic Standing and Withdrawal,4,0.5714285714285714,Part 6: Academic Procedures and Information
Registration,University Identity and Study Away,1,0.14285714285714285,Part 6: Academic Procedures and Information
Religious Holidays,University Identity and Study Away,1,1.0,Part 6: Academic Procedures and Information
Requirements for All Majors,Credit and Degree Requirements,5,1.0,Part 10: Majors and Courses
Residence Life,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Scholarships and Financial Aid,Credit and Degree Requirements,1,0.25,"Part 4: Admission, Scholarships and Financial Aid"
Scholarships and Financial Aid,University Identity and Study Away,3,0.75,"Part 4: Admission, Scholarships and Financial Aid"
Seven Principles of Duke Kunshan University Academic Advising,"Policy, Health, and Society",2,1.0,Part 7: Academic Advising and Support
Statement on Diversity and Inclusion,University Identity and Study Away,1,1.0,Part 1: General Information
Student Affairs,"Language, Media, and Skills",1,0.5,Part 9: Student Affairs and Campus Life
Student Affairs,"Policy, Health, and Society",1,0.5,Part 9: Student Affairs and Campus Life
Student Affairs Conceptual Framework,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Student Clubs and Organizations,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Student Conduct,Academic Standing and Withdrawal,2,0.6666666666666666,Part 9: Student Affairs and Campus Life
Student Conduct,University Identity and Study Away,1,0.3333333333333333,Part 9: Student Affairs and Campus Life
Student Research Opportunities,University Identity and Study Away,2,1.0,"Part 8: Career Services, Study Away, and Research Opportunities"
Submission of Term Paper,Credit and Degree Requirements,1,1.0,Part 6: Academic Procedures and Information
The Provision of Academic Information to Parents and Guardians,Academic Standing and Withdrawal,1,1.0,Part 6: Academic Procedures and Information
Time Limit for Completing Undergraduate Degree,University Identity and Study Away,1,1.0,Part 6: Academic Procedures and Information
Transfer of Work Taken Elsewhere,University Identity and Study Away,6,1.0,Part 6: Academic Procedures and Information
Tuition and Fees,Academic Standing and Withdrawal,1,0.5,Part 5: Financial Information
Tuition and Fees,University Identity and Study Away,1,0.5,Part 5: Financial Information
Two-Credit Writing Courses,Credit and Degree Requirements,1,1.0,Part 6: Academic Procedures and Information
Undergraduate Course Load,Academic Calendar and Deadlines,1,0.05263157894736842,Part 6: Academic Procedures and Information
Undergraduate Course Load,Academic Standing and Withdrawal,12,0.631578947368421,Part 6: Academic Procedures and Information
Undergraduate Course Load,Credit and Degree Requirements,5,0.2631578947368421,Part 6: Academic Procedures and Information
Undergraduate Course Load,University Identity and Study Away,1,0.05263157894736842,Part 6: Academic Procedures and Information
Who We Are,University Identity and Study Away,5,1.0,Part 1: General Information
