title,category,price_gbp,star_rating
The Death of Humanity: and the Case for Life,Philosophy,58.11,Four
The Stranger,Philosophy,17.44,Four
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,54.21,One
Kierkegaard: A Christian Missionary to Christians,Philosophy,47.13,One
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,29.93,Five
Critique of Pure Reason,Philosophy,20.75,One
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02,One
The Nicomachean Ethics,Philosophy,36.34,One
Meditations,Philosophy,25.89,Two
Beyond Good and Evil,Philosophy,43.38,One
Chase Me (Paris Nights #2),Romance,25.27,Five
Black Dust,Romance,34.53,Five
Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,One
First and First (Five Boroughs #3),Romance,15.97,Four
Fifty Shades Darker (Fifty Shades #2),Romance,21.96,One
The Wedding Dress,Romance,24.12,One
Suddenly in Love (Lake Haven #1),Romance,55.99,Two
Something More Than This,Romance,16.24,Four
Doing It Over (Most Likely To #1),Romance,35.61,Three
The Wedding Pact (The O'Malleys #2),Romance,32.61,Three
Hold Your Breath (Search and Rescue #1),Romance,28.82,One
Dirty (Dive Bar #1),Romance,40.83,Four
Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,Three
Off the Hook (Fishing for Trouble #1),Romance,47.67,Three
A Gentleman's Position (Society of Gentlemen #3),Romance,14.75,Five
"Sit, Stay, Love",Romance,20.9,Three
A Girl's Guide to Moving On (New Beginnings #2),Romance,31.3,One
The Perfect Play (Play by Play #1),Romance,59.99,Three
Dark Lover (Black Dagger Brotherhood #1),Romance,12.87,One
Changing the Game (Play by Play #2),Romance,13.38,Three
A Walk to Remember,Romance,56.43,One
The Purest Hook (Second Circle Tattoos #3),Romance,12.25,One
The Obsession,Romance,45.43,One
Reservations for Two,Romance,11.1,Three
Best of My Love (Fool's Gold #20),Romance,27.41,Two
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,Three
This One Moment (Pushing Limits #1),Romance,48.71,One
"Rhythm, Chord & Malykhin",Romance,28.34,Two
My Perfect Mistake (Over the Top #1),Romance,38.92,Two
Listen to Me (Fusion #1),Romance,58.99,Three
Imperfect Harmony,Romance,34.74,Four
Fighting Fate (Fighting #6),Romance,39.24,Three
Deep Under (Walker Security #1),Romance,47.09,Five
Charity's Cross (Charles Towne Belles #4),Romance,41.24,One
Bounty (Colorado Mountain #7),Romance,37.26,Four
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,Four
Will You Won't You Want Me?,Womens Fiction,13.86,Three
Keep Me Posted,Womens Fiction,20.46,Four
Grey (Fifty Shades #4),Womens Fiction,48.49,Four
Meternity,Womens Fiction,43.58,Three
Some Women,Womens Fiction,13.73,Five
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39,Five
Can You Keep a Secret?,Womens Fiction,21.94,One
Twenties Girl,Womens Fiction,42.8,Two
The Undomestic Goddess,Womens Fiction,45.75,Four
The Nanny Diaries (Nanny #1),Womens Fiction,52.53,Five
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,44.29,One
Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96,Five
Something Blue (Darcy & Rachel #2),Womens Fiction,54.62,One
I've Got Your Number,Womens Fiction,19.69,One
The Edge of Reason (Bridget Jones #2),Womens Fiction,19.18,Four
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,29.82,One
Soumission,Fiction,50.1,One
Private Paris (Private #10),Fiction,47.61,Five
"We Love You, Charlie Freeman",Fiction,50.27,Five
Thirst,Fiction,17.27,Five
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,Three
Tuesday Nights in 1980,Fiction,21.04,Two
The Vacationers,Fiction,42.15,Four
The Regional Office Is Under Attack!,Fiction,51.36,Five
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,Five
The Time Keeper,Fiction,27.88,Five
The Testament of Mary,Fiction,52.67,Four
The First Hostage (J.B. Collins #2),Fiction,25.85,Three
Take Me with You,Fiction,45.21,Three
Still Life with Bread Crumbs,Fiction,26.41,Three
Shtum,Fiction,55.84,Four
My Name Is Lucy Barton,Fiction,41.56,One
My Mrs. Brown,Fiction,24.48,Three
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.9,One
I Am Pilgrim (Pilgrim #1),Fiction,10.6,Four
Eligible (The Austen Project #4),Fiction,27.09,Three
Eight Hundred Grapes,Fiction,14.39,Four
Dear Mr. Knightley,Fiction,11.21,Five
Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,Three
Balloon Animals,Fiction,17.03,Three
A Man Called Ove,Fiction,39.72,One
The Silent Sister (Riley MacPherson #1),Fiction,46.29,Five
The Dinner Party,Fiction,56.54,Two
The Improbability of Love,Fiction,59.45,One
Mothering Sunday,Fiction,13.34,Two
Lies and Other Acts of Love,Fiction,45.14,One
Daredevils,Fiction,16.34,Three
11/22/63,Fiction,48.48,Three
The Shack,Fiction,28.03,One
The High Mountains of Portugal,Fiction,51.15,One
Miller's Valley,Fiction,58.54,Two
Hystopia: A Novel,Fiction,21.96,Four
The Bourne Identity (Jason Bourne #1),Fiction,42.78,Four
Sister Dear,Fiction,40.2,Four
Memoirs of a Geisha,Fiction,49.67,Three
Me Before You (Me Before You #1),Fiction,19.02,One
Deception Point,Fiction,40.32,Four
The Little Paris Bookshop,Fiction,24.73,Three
The Firm,Fiction,45.56,Three
The Expatriates,Fiction,44.58,Two
Siddhartha,Fiction,34.22,Five
Last One Home (New Beginnings #1),Fiction,59.98,Three
Digital Fortress,Fiction,58.0,Five
Atlas Shrugged,Fiction,26.58,Five
Three-Martini Lunch,Fiction,23.21,Three
The Nightingale,Fiction,26.26,Four
The Infinities,Fiction,27.41,One
The Husband's Secret,Fiction,52.51,Five
The Da Vinci Code (Robert Langdon #2),Fiction,22.96,Two
The Art of Fielding,Fiction,22.1,One
Lila (Gilead #3),Fiction,12.47,Three
Jurassic Park (Jurassic Park #1),Fiction,44.97,One
Inferno (Robert Langdon #4),Fiction,41.0,Five
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,49.13,Five
Big Little Lies,Fiction,22.11,One
The Course of Love,Fiction,16.78,Three
When I'm Gone,Fiction,51.96,Three
The Silent Wife,Fiction,12.34,Five
The Bette Davis Club,Fiction,30.66,Three
Kitchens of the Great Midwest,Fiction,57.2,Five
Bright Lines,Fiction,39.07,Five
Birdsong: A Story in Pictures,Childrens,54.64,Three
The Bear and the Piano,Childrens,36.89,One
The Secret of Dreadwillow Carse,Childrens,56.13,One
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,Four
Little Red,Childrens,13.47,Three
Walt Disney's Alice in Wonderland,Childrens,12.96,Five
Twenty Yawns,Childrens,22.08,Two
Rain Fish,Childrens,23.57,Three
Once Was a Time,Childrens,18.28,Two
Luis Paints the World,Childrens,53.95,Three
Nap-a-Roo,Childrens,25.08,One
The Whale,Childrens,35.96,Four
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87,Three
Raymie Nightingale,Childrens,34.41,Two
Playing from the Heart,Childrens,32.38,One
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,22.54,One
The Wild Robot,Childrens,56.07,Three
The Thing About Jellyfish,Childrens,48.77,One
The Lonely Ones,Childrens,43.59,Five
The Day the Crayons Came Home (Crayons),Childrens,26.33,Five
The Cat in the Hat (Beginner Books B-1),Childrens,16.26,Two
Red: The True Story of Red Riding Hood,Childrens,28.54,Three
Horrible Bear!,Childrens,37.52,Two
Green Eggs and Ham (Beginner Books B-16),Childrens,10.79,Four
Counting Thyme,Childrens,10.62,One
Are We There Yet?,Childrens,10.66,Three
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,52.88,Four
Matilda,Childrens,28.34,One
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,22.85,Three
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,Two
You Are What You Love: The Spiritual Power of Habit,Religion,21.87,Four
God: The Most Unpleasant Character in All Fiction,Religion,30.03,Five
The Book of Mormon,Religion,24.57,Three
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,27.62,One
The Bhagavad Gita,Religion,57.49,Three
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42,Four
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,Three
Reasons to Stay Alive,Nonfiction,26.41,Two
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,Five
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,Four
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,Three
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,Three
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,One
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,Four
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,Two
In the Country We Love: My Family Divided,Nonfiction,22.0,Four
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,Two
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,Five
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,One
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,Two
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,Two
The Genius of Birds,Nonfiction,17.24,One
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,Five
So You've Been Publicly Shamed,Nonfiction,12.23,Two
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,Three
Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,Three
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,Two
Agnostic: A Spirited Manifesto,Nonfiction,12.51,Five
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,Four
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,Two
The Year of Magical Thinking,Nonfiction,43.04,Two
The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,Three
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,One
Swell: A Year of Waves,Nonfiction,45.58,One
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,Two
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,Five
Let It Out: A Journey Through Journaling,Nonfiction,26.79,Five
Hamilton: The Revolution,Nonfiction,58.79,Three
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,Four
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,Five
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,Four
Brain on Fire: My Month of Madness,Nonfiction,49.32,Five
Abstract City,Nonfiction,56.37,Five
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,One
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,Two
The Diary of a Young Girl,Nonfiction,59.9,Three
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,Three
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,Four
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,Four
"Mother, Can You Not?",Nonfiction,16.89,Five
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,19.53,Three
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57,Two
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,35.92,Two
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06,Three
Why Not Me?,Nonfiction,17.76,One
When Breath Becomes Air,Nonfiction,39.36,Two
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,28.45,Four
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,38.89,Five
Rising Strong,Nonfiction,21.82,Three
Man's Search for Meaning,Nonfiction,29.48,Three
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,25.06,Two
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,12.55,Three
I Will Find You,Nonfiction,44.21,One
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,19.22,Two
Between the World and Me,Nonfiction,56.91,Four
Being Mortal: Medicine and What Matters in the End,Nonfiction,55.06,Four
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,13.2,Three
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,45.13,Three
Finding God in the Ruins: How God Redeems Pain,Nonfiction,46.64,Two
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,59.45,Four
In Cold Blood,Nonfiction,49.98,Four
"Girl, Interrupted",Nonfiction,42.14,Three
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,48.67,Two
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,25.15,Four
My Mother Was Nuts,Nonfiction,31.63,Four
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,32.35,Three
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,38.71,Three
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,16.81,Four
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,28.23,Two
God Is Not Great: How Religion Poisons Everything,Nonfiction,27.8,One
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,31.95,Three
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,50.66,Three
"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,58.09,One
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,30.0,One
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,53.51,One
The Name of God is Mercy,Nonfiction,37.25,Two
Stiff: The Curious Lives of Human Cadavers,Nonfiction,36.74,Three
Spilled Milk: Based on a True Story,Nonfiction,49.51,One
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,41.67,Four
Outliers: The Story of Success,Nonfiction,14.16,One
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,40.17,One
Night (The Night Trilogy #1),Nonfiction,13.51,One
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,57.83,One
Letter to a Christian Nation,Nonfiction,22.2,One
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,45.11,One
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,42.38,One
Into the Wild,Nonfiction,56.7,Five
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,28.85,Three
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Nonfiction,28.88,Two
Gratitude,Nonfiction,26.66,Five
Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,15.28,Five
Brave Enough,Nonfiction,51.32,Five
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,27.35,Two
Blink: The Power of Thinking Without Thinking,Nonfiction,21.74,Five
Black Flags: The Rise of ISIS,Nonfiction,40.87,One
Are We Smart Enough to Know How Smart Animals Are?,Nonfiction,56.58,One
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction,30.48,Four
"The Suffragettes (Little Black Classics, #96)",Nonfiction,11.89,Two
Kindle Paperwhite User's Guide,Nonfiction,34.0,Three
H is for Hawk,Nonfiction,57.42,Five
